"regional_code","common_name_en","common_name_fr","scientific_name","aphia_id","count_of_occurrences_in_db"
2520,"Toad crab unidentified",NA,"Hyas sp.",106903,154
616,"Fish doctor","Unernak","Gymnelus viridis",127096,153
6715,"Arctic armored cucumber","Psolus brun","Psolus phantapus",124710,151
640,"Ocean pout",NA,"Zoarces americanus",159267,149
4316,"Astarte unidentified",NA,"Astarte sp.",137683,147
2223,"Arctic red shrimp","Gamba arctique","Eusergestes arcticus",515738,146
14,"Silver hake",NA,"Merluccius bilinearis",158962,144
4221,"Northern moonsnail",NA,"Euspira heros",160315,143
4522,"Lesser bobtail squid",NA,"Semirossia tenera",157036,143
3212,"Aphrodita unidentified",NA,"Aphrodita sp.",129194,141
646,"Atlantic soft pout","Molasse atlantique","Melanostigma atlanticum",127120,140
1827,"Sea peach",NA,"Halocynthia pyriformis",103828,139
6413,"Heart urchin","Brisaster fragilis","Brisaster fragilis",124404,137
50,"Atlantic wolffish","Loup atlantique","Anarhichas lupus",126758,134
8361,"Feather boa sea pen","Anthoptilum grandiflorum","Anthoptilum grandiflorum",128504,133
1930,"Lampshell unidentified",NA,"Brachiopoda (p.)",1803,132
4200,"Snails/Slugs unidentified",NA,"Gastropoda (c.)",101,130
4304,"Ocean quahog","Quahog nordique","Arctica islandica",138802,127
1920,"Obsolete",NA,"Obsolete",NA,123
9999,"Ninth Unidentified Per Set",NA,NA,NA,123
2612,"Euphausia unidentified",NA,"Euphausia sp.",110673,121
3199,"Worm cast","Polychaete sp. restes","Polychaete sp. remains",NA,118
2319,"Spiny lebbeid","Bouc","Lebbeus groenlandicus",107520,117
630,"Wrymouth",NA,"Cryptacanthodes maculatus",159675,113
4312,"Northern propellerclam","Couteau de banks (pitot)","Cyrtodaria siliqua",140102,108
8208,"Sea anemones unidentified",NA,"Actiniaria (o.)",1360,108
4524,"North atlantic octopus",NA,"Bathypolypus arcticus",140596,106
2210,"Boreal red shrimp unidentified","Crevette - Pandalus","Pandalus sp.",107044,105
4209,"Buccinidae unidentified",NA,"Buccinidae (f.)",149,103
8612,"Tentorium semisuberites","Tentorium semisuberites","Tentorium semisuberites",134224,103
4700,"Chitons unidentified",NA,"Polyplacophora (c.)",55,99
9992,"Second Unidentified Per Set",NA,NA,NA,98
2990,"Barnacle unidentified",NA,"Cirripedia (s.c.)",1082,94
3200,"Aphrodita hastata","Aphrodita hastata","Aphrodita hastata",157181,94
8313,"Swimming anemone",NA,"Stomphia coccinea",100854,94
112,"Longfin hake",NA,"Phycis chesteri",158988,90
4224,"Boreal rosy margarite",NA,"Margarites costalis",141819,90
204,"Winter skate",NA,"Leucoraja ocellata",158553,88
2416,"Crangon shrimp unidentified",NA,"Crangon sp.",107007,85
4330,"Mussel unidentified",NA,"Mytilidae (f.)",211,85
8617,"Saucer-shaped horny sponge","Biemna variantia","Biemna variantia",133205,85
8624,"obsolete",NA,"Obsolete",NA,78
4310,"Clam unidentified",NA,"Protobranchia/Heteroconchia",NA,77
6611,"Northern sea cucumber","Concombre de mer","Cucumaria frondosa",124612,76
8327,"Soft coral unidentified",NA,NA,NA,75
8620,"Halichondria (Eumastia) sitiens","Halichondria (Eumastia) sitiens","Halichondria (Eumastia) sitiens",165789,75
8611,"Polymastia bartletti","Polymastia bartletti","Polymastia bartletti",134193,71
9997,"Seventh Unidentified Per Set",NA,NA,NA,71
3700,"Sipunculus unidentified",NA,"Sipunculus sp.",136031,70
4255,"Top shell unidentified",NA,"Trochidae (f.)",443,70
8627,"Cladocroce spatula","Cladocroce spatula","Cladocroce spatula",370775,69
8633,"Vase sponge","Semisuberites cribrosa","Semisuberites cribrosa",168379,68
628,"Canadian eelpout","Lycode polaire","Lycodes polaris",127111,67
2848,"Rhachotropis aculeata","Rhachotropis aculeata","Rhachotropis aculeata",102224,67
61,"American shad","Alose savoureuse","Alosa sapidissima",158670,65
2415,"Norwegian shrimp","Crevette","Pontophilus norvegicus",107563,64
4228,"Colus unidentified",NA,"Colus sp.",137704,63
4212,"Ladder whelk","Buccinum scalariforme","Buccinum scalariforme",138875,61
4351,"Nuculana unidentified",NA,"Nuculana sp.",138259,60
8610,"Polymastia unidentified",NA,"Polymastia sp.",132046,59
8346,"Northern scarlet star","Pseudarchaster parelii","Pseudarchaster parelii",124085,58
701,"Atlantic butterfish",NA,"Peprilus triacanthus",159828,55
4331,"Blue mussel","Moule bleue","Mytilus edulis",140480,55
8351,"Stephanauge nexilis","Stephanauge nexilis","Stephanauge nexilis",158258,55
4340,"Cockle unidentified",NA,"Cardiidae (f.)",229,54
8360,"Ptilella grandis","Ptilella grandis","Ptilella grandis",1379630,54
8511,"Lion's mane jellyfish",NA,"Cyanea capillata",135301,53
9996,"Sixth Unidentified Per Set",NA,NA,NA,53
500,"Snailfish unidentified",NA,"Liparidae sp.",234519,52
3000,"Segmented worm unidentified",NA,"Annelida (p.)",882,51
3500,"Scale worm unidentified",NA,"Polynoidae (f.)",939,51
4410,"Dendronotus unidentified",NA,"Dendronotus sp.",137885,51
6114,"Leptasterias unidentified",NA,"Leptasterias sp.",123222,50
8317,"Bolocera unidentified",NA,"Bolocera sp.",100698,50
1200,"Eggs - Fish",NA,NA,NA,49
6411,"Green sea urchin","Oursin vert","Strongylocentrotus droebachiensis",124321,49
8614,"Iophon unidentified",NA,"Iophon sp.",131863,49
4230,"Pelican foot unidentified",NA,"Aporrhais sp.",137656,47
4319,"Arctic hiatella","Saxicave arctique","Hiatella arctica",140103,47
9998,"Eighth Unidentified Per Set",NA,NA,NA,47
520,"Sea tadpole","Petite limace de mer","Careproctus reinhardti",127212,46
2214,"Bristled longbeak shrimp","Crevette - Dichelopandalus leptocerus","Dichelopandalus leptocerus",158356,46
2330,"Eualus unidentified",NA,"Eualus sp.",106986,46
631,"Slender eelblenny",NA,"Lumpenus fabricii",127073,45
